T;Cp°;S°
100;29.208;179.009
200;32.359;199.975
298.15;37.129;213.795
300;37.221;214.025
400;41.325;225.314
500;44.627;234.901
600;47.321;243.283
700;49.564;250.750
800;51.434;257.494
900;52.999;263.645
1000;54.308;269.299
1100;55.409;274.528
1200;56.342;279.390
1300;57.137;283.932
1400;57.802;288.191
1500;58.379;292.199
1600;58.886;295.983
1700;59.317;299.566
1800;59.701;302.968
1900;60.049;306.205
2000;60.350;309.293
2100;60.622;312.244
2200;60.865;315.070
2300;61.086;317.781
2400;61.287;320.385
2500;61.471;322.890
2600;61.647;325.305
2700;61.802;327.634
2800;61.952;329.885
2900;62.095;332.061
3000;62.229;334.169
3100;62.347;336.211
3200;62.462;338.192
3300;62.573;340.116
3400;62.681;341.986
3500;62.785;343.804
3600;62.884;345.574
3700;62.980;347.299
3800;63.074;348.979
3900;63.166;350.619
4000;63.254;352.219
4100;63.341;353.782
4200;63.426;355.310
4300;63.509;356.803
4400;63.588;358.264
4500;63.667;359.694
4600;63.745;361.094
4700;63.823;362.466
4800;63.893;363.810
4900;63.968;365.128
5000;64.046;366.422
5100;64.128;367.691
5200;64.220;368.937
5300;64.312;370.161
5400;64.404;371.364
5500;64.496;372.547
5600;64.588;373.709
5700;64.680;374.853
5800;64.772;375.979
5900;64.865;377.087
6000;64.957;378.178
